,TC Index,TC Variables,TC Value
70,"(70,)","('exciting',)",7.322221051708766e-08
75,"(75,)","('totFireRate',)",4.8514774420027607e-08
74,"(74,)","('fireRate',)",4.147858234659907e-08
38,"(38,)","('cluster12',)",3.3076027250444895e-08
64,"(64,)","('region6',)",3.125395053871216e-08
28,"(28,)","('cluster2',)",3.089914812903771e-08
71,"(71,)","('inhibiting',)",2.9164045400875693e-08
29,"(29,)","('cluster3',)",2.86962897888543e-08
0,"(0,)","('animal1',)",2.822254785428413e-08
68,"(68,)","('nexciting',)",2.7460195894946082e-08
15,"(15,)","('electrode5',)",2.483833050348494e-08
66,"(66,)","('region8',)",2.1822719631359178e-08
72,"(72,)","('excited',)",2.1363879554314735e-08
73,"(73,)","('inhibited',)",1.9095949710390414e-08
67,"(67,)","('region9',)",1.8913945964982304e-08
18,"(18,)","('electrode8',)",1.8611157059922334e-08
3,"(3,)","('animal4',)",1.832478879748578e-08
65,"(65,)","('region7',)",1.807682536991706e-08
60,"(60,)","('region2',)",1.7669027130295945e-08
39,"(39,)","('cluster13',)",1.7506769367514607e-08
12,"(12,)","('electrode2',)",1.749651090676707e-08
1,"(1,)","('animal2',)",1.7264733642718966e-08
31,"(31,)","('cluster5',)",1.7105771021874716e-08
41,"(41,)","('cluster15',)",1.652058934098477e-08
11,"(11,)","('electrode1',)",1.6213082432159354e-08
43,"(43,)","('cluster17',)",1.5328707192452384e-08
36,"(36,)","('cluster10',)",1.4750312971045787e-08
34,"(34,)","('cluster8',)",1.3637152740386682e-08
69,"(69,)","('ninhibiting',)",1.3132592791009756e-08
46,"(46,)","('cluster20',)",1.2820565942206485e-08
19,"(19,)","('electrode9',)",1.276898586866082e-08
16,"(16,)","('electrode6',)",1.2368230883907927e-08
51,"(51,)","('cluster25',)",1.1352707218748037e-08
62,"(62,)","('region4',)",1.1219550621888175e-08
2,"(2,)","('animal3',)",1.0654758852979285e-08
10,"(10,)","('animal11',)",1.0395446281563636e-08
30,"(30,)","('cluster4',)",1.0391498328488069e-08
13,"(13,)","('electrode3',)",1.0221225643647358e-08
22,"(22,)","('electrode12',)",1.0151021356819001e-08
59,"(59,)","('region1',)",9.769841824436298e-09
37,"(37,)","('cluster11',)",9.627082242502638e-09
42,"(42,)","('cluster16',)",9.612736384667642e-09
45,"(45,)","('cluster19',)",9.197932193671932e-09
53,"(53,)","('cluster27',)",8.184965594182358e-09
8,"(8,)","('animal9',)",8.128616002522904e-09
61,"(61,)","('region3',)",8.103280713100958e-09
27,"(27,)","('cluster1',)",8.011466157142877e-09
49,"(49,)","('cluster23',)",7.555743586351582e-09
54,"(54,)","('cluster28',)",7.349090225261534e-09
7,"(7,)","('animal8',)",7.07208380745783e-09
32,"(32,)","('cluster6',)",6.93115920213927e-09
44,"(44,)","('cluster18',)",6.247354189525822e-09
40,"(40,)","('cluster14',)",6.095844273801276e-09
4,"(4,)","('animal5',)",5.9907194760455695e-09
57,"(57,)","('cluster31',)",5.802544222888173e-09
14,"(14,)","('electrode4',)",5.639104294630215e-09
9,"(9,)","('animal10',)",5.430174088161266e-09
17,"(17,)","('electrode7',)",5.385991652673283e-09
55,"(55,)","('cluster29',)",5.036826067339462e-09
47,"(47,)","('cluster21',)",5.007072534368717e-09
23,"(23,)","('electrode13',)",4.971921985230665e-09
35,"(35,)","('cluster9',)",4.723890612012838e-09
5,"(5,)","('animal6',)",4.715285495393573e-09
26,"(26,)","('electrode16',)",4.565943623191515e-09
20,"(20,)","('electrode10',)",4.475360082523139e-09
52,"(52,)","('cluster26',)",3.893379396657792e-09
48,"(48,)","('cluster22',)",3.498198397622332e-09
21,"(21,)","('electrode11',)",3.3627021167603743e-09
50,"(50,)","('cluster24',)",3.3280931344137343e-09
33,"(33,)","('cluster7',)",3.2716853670677892e-09
24,"(24,)","('electrode14',)",3.2413525197227955e-09
63,"(63,)","('region5',)",3.2254325876834855e-09
58,"(58,)","('cluster32',)",2.6339346259618424e-09
6,"(6,)","('animal7',)",2.6297588551216222e-09
56,"(56,)","('cluster30',)",2.3660609027587043e-09
25,"(25,)","('electrode15',)",2.0153700930336527e-09
