,TC Index,TC Variables,TC Value
0,"(0,)","('animal1',)",0.04105101898312569
1,"(1,)","('animal2',)",0.03741789609193802
3,"(3,)","('animal4',)",0.030498763546347618
8,"(8,)","('animal9',)",0.01368804182857275
13,"(0, 3)","('animal1', 'animal4')",0.013680490665137768
11,"(0, 1)","('animal1', 'animal2')",0.01336675975471735
7,"(7,)","('animal8',)",0.012825199402868748
2,"(2,)","('animal3',)",0.011543023400008678
10,"(0, 0)","('animal1', 'animal1')",0.010731981135904789
9,"(9,)","('animal10',)",0.010098901577293873
22,"(1, 3)","('animal2', 'animal4')",0.009186643175780773
6,"(6,)","('animal7',)",0.0062398649752140045
19,"(0, 9)","('animal1', 'animal10')",0.00589918764308095
20,"(1, 1)","('animal2', 'animal2')",0.005847865249961615
4,"(4,)","('animal5',)",0.005834436975419521
12,"(0, 2)","('animal1', 'animal3')",0.005711894948035479
5,"(5,)","('animal6',)",0.005603722762316465
17,"(0, 7)","('animal1', 'animal8')",0.005464738234877586
18,"(0, 8)","('animal1', 'animal9')",0.004834054037928581
66,"(0, 0, 1)","('animal1', 'animal1', 'animal2')",0.004473953973501921
37,"(3, 3)","('animal4', 'animal4')",0.004459688439965248
27,"(1, 8)","('animal2', 'animal9')",0.004223623313009739
68,"(0, 0, 3)","('animal1', 'animal1', 'animal4')",0.004183060955256224
41,"(3, 7)","('animal4', 'animal8')",0.0038643896114081144
26,"(1, 7)","('animal2', 'animal8')",0.0038517683278769255
75,"(0, 1, 1)","('animal1', 'animal2', 'animal2')",0.00378143647685647
43,"(3, 9)","('animal4', 'animal10')",0.0037804513704031706
21,"(1, 2)","('animal2', 'animal3')",0.0036407839506864548
42,"(3, 8)","('animal4', 'animal9')",0.003457804210484028
30,"(2, 3)","('animal3', 'animal4')",0.0033405055291950703
16,"(0, 6)","('animal1', 'animal7')",0.0032867344561964273
28,"(1, 9)","('animal2', 'animal10')",0.0031597649212926626
92,"(0, 3, 3)","('animal1', 'animal4', 'animal4')",0.002842736430466175
122,"(1, 1, 3)","('animal2', 'animal2', 'animal4')",0.0027585921343415976
65,"(0, 0, 0)","('animal1', 'animal1', 'animal1')",0.002754072193056345
74,"(0, 0, 9)","('animal1', 'animal1', 'animal10')",0.002424567472189665
14,"(0, 4)","('animal1', 'animal5')",0.0024148242082446814
137,"(1, 3, 3)","('animal2', 'animal4', 'animal4')",0.0023278691805899143
15,"(0, 5)","('animal1', 'animal6')",0.0023210898507386446
72,"(0, 0, 7)","('animal1', 'animal1', 'animal8')",0.0022544274106621742
40,"(3, 6)","('animal4', 'animal7')",0.0022102820221334696
23,"(1, 4)","('animal2', 'animal5')",0.0018064758041873574
25,"(1, 6)","('animal2', 'animal7')",0.0017307589296251535
73,"(0, 0, 8)","('animal1', 'animal1', 'animal9')",0.0016729328781366348
38,"(3, 4)","('animal4', 'animal5')",0.0016718845581635833
24,"(1, 5)","('animal2', 'animal6')",0.0016700507840141654
67,"(0, 0, 2)","('animal1', 'animal1', 'animal3')",0.0016213186318054795
36,"(2, 9)","('animal3', 'animal10')",0.001606715377420187
34,"(2, 7)","('animal3', 'animal8')",0.0015585373621433973
61,"(7, 9)","('animal8', 'animal10')",0.0015164923388510942
39,"(3, 5)","('animal4', 'animal6')",0.001499975798651576
60,"(7, 8)","('animal8', 'animal9')",0.0014390392461791635
127,"(1, 1, 8)","('animal2', 'animal2', 'animal9')",0.0014120937557891011
71,"(0, 0, 6)","('animal1', 'animal1', 'animal7')",0.0013355058617889881
35,"(2, 8)","('animal3', 'animal9')",0.0013038474135100842
120,"(1, 1, 1)","('animal2', 'animal2', 'animal2')",0.0012695090845227242
63,"(8, 9)","('animal9', 'animal10')",0.00112465291749686
126,"(1, 1, 7)","('animal2', 'animal2', 'animal8')",0.0011011554161086679
58,"(6, 9)","('animal7', 'animal10')",0.0010252527426928282
64,"(9, 9)","('animal10', 'animal10')",0.000996020738966763
77,"(0, 1, 3)","('animal1', 'animal2', 'animal4')",0.0009762264089658856
29,"(2, 2)","('animal3', 'animal3')",0.0009755772189237177
70,"(0, 0, 5)","('animal1', 'animal1', 'animal6')",0.0009169302647933364
206,"(3, 3, 8)","('animal4', 'animal4', 'animal9')",0.0009087937069125473
121,"(1, 1, 2)","('animal2', 'animal2', 'animal3')",0.0008818546775728464
69,"(0, 0, 4)","('animal1', 'animal1', 'animal5')",0.0008750499109737575
119,"(0, 9, 9)","('animal1', 'animal10', 'animal10')",0.0008681837935000658
33,"(2, 6)","('animal3', 'animal7')",0.0008548969635739923
59,"(7, 7)","('animal8', 'animal8')",0.0008492268389090896
62,"(8, 8)","('animal9', 'animal9')",0.0008393559255637228
56,"(6, 7)","('animal7', 'animal8')",0.0008242265321314335
201,"(3, 3, 3)","('animal4', 'animal4', 'animal4')",0.0008094131480902433
205,"(3, 3, 7)","('animal4', 'animal4', 'animal8')",0.0007778298459015787
173,"(2, 3, 3)","('animal3', 'animal4', 'animal4')",0.0007709412020631135
31,"(2, 4)","('animal3', 'animal5')",0.0007639863179065287
128,"(1, 1, 9)","('animal2', 'animal2', 'animal10')",0.0007490469142794609
114,"(0, 7, 7)","('animal1', 'animal8', 'animal8')",0.0007177676307037473
207,"(3, 3, 9)","('animal4', 'animal4', 'animal10')",0.0007133820909075439
48,"(4, 8)","('animal5', 'animal9')",0.0006577578606083989
47,"(4, 7)","('animal5', 'animal8')",0.0006500667077489197
32,"(2, 5)","('animal3', 'animal6')",0.0006427033222280443
49,"(4, 9)","('animal5', 'animal10')",0.0006389759364537895
57,"(6, 8)","('animal7', 'animal9')",0.0006247563869692385
