,TC Index,TC Variables,TC Value
0,"(0,)","('animal1',)",0.04105101525783539
1,"(1,)","('animal2',)",0.03741789609193802
3,"(3,)","('animal4',)",0.030498763546347618
8,"(8,)","('animal9',)",0.0136880399659276
13,"(0, 3)","('animal1', 'animal4')",0.013680490665137768
11,"(0, 1)","('animal1', 'animal2')",0.01336675975471735
7,"(7,)","('animal8',)",0.012825198471546173
2,"(2,)","('animal3',)",0.011543023400008678
10,"(0, 0)","('animal1', 'animal1')",0.010731980204582214
9,"(9,)","('animal10',)",0.010098900645971298
22,"(1, 3)","('animal2', 'animal4')",0.009186642244458199
6,"(6,)","('animal7',)",0.006239864509552717
19,"(0, 9)","('animal1', 'animal10')",0.0058991871774196625
20,"(1, 1)","('animal2', 'animal2')",0.005847865249961615
4,"(4,)","('animal5',)",0.005834436044096947
12,"(0, 2)","('animal1', 'animal3')",0.005711894482374191
5,"(5,)","('animal6',)",0.005603722296655178
17,"(0, 7)","('animal1', 'animal8')",0.005464738700538874
18,"(0, 8)","('animal1', 'animal9')",0.004834054037928581
66,"(0, 0, 1)","('animal1', 'animal1', 'animal2')",0.004473953507840633
37,"(3, 3)","('animal4', 'animal4')",0.004459688439965248
27,"(1, 8)","('animal2', 'animal9')",0.004223623313009739
68,"(0, 0, 3)","('animal1', 'animal1', 'animal4')",0.004183060955256224
41,"(3, 7)","('animal4', 'animal8')",0.0038643896114081144
26,"(1, 7)","('animal2', 'animal8')",0.0038517683278769255
75,"(0, 1, 1)","('animal1', 'animal2', 'animal2')",0.00378143647685647
43,"(3, 9)","('animal4', 'animal10')",0.0037804513704031706
21,"(1, 2)","('animal2', 'animal3')",0.0036407839506864548
42,"(3, 8)","('animal4', 'animal9')",0.003457804210484028
30,"(2, 3)","('animal3', 'animal4')",0.003340505762025714
16,"(0, 6)","('animal1', 'animal7')",0.0032867342233657837
28,"(1, 9)","('animal2', 'animal10')",0.0031597649212926626
92,"(0, 3, 3)","('animal1', 'animal4', 'animal4')",0.002842736430466175
122,"(1, 1, 3)","('animal2', 'animal2', 'animal4')",0.002758591901510954
65,"(0, 0, 0)","('animal1', 'animal1', 'animal1')",0.002754072193056345
74,"(0, 0, 9)","('animal1', 'animal1', 'animal10')",0.002424567472189665
14,"(0, 4)","('animal1', 'animal5')",0.0024148239754140377
137,"(1, 3, 3)","('animal2', 'animal4', 'animal4')",0.0023278689477592707
15,"(0, 5)","('animal1', 'animal6')",0.0023210898507386446
72,"(0, 0, 7)","('animal1', 'animal1', 'animal8')",0.002254426945000887
40,"(3, 6)","('animal4', 'animal7')",0.002210281789302826
23,"(1, 4)","('animal2', 'animal5')",0.0018064756877720356
25,"(1, 6)","('animal2', 'animal7')",0.0017307589296251535
73,"(0, 0, 8)","('animal1', 'animal1', 'animal9')",0.001672932761721313
38,"(3, 4)","('animal4', 'animal5')",0.0016718845581635833
24,"(1, 5)","('animal2', 'animal6')",0.0016700505511835217
67,"(0, 0, 2)","('animal1', 'animal1', 'animal3')",0.0016213185153901577
36,"(2, 9)","('animal3', 'animal10')",0.0016067151445895433
34,"(2, 7)","('animal3', 'animal8')",0.0015585373621433973
61,"(7, 9)","('animal8', 'animal10')",0.0015164923388510942
39,"(3, 5)","('animal4', 'animal6')",0.0014999756822362542
60,"(7, 8)","('animal8', 'animal9')",0.0014390391297638416
127,"(1, 1, 8)","('animal2', 'animal2', 'animal9')",0.0014120936393737793
71,"(0, 0, 6)","('animal1', 'animal1', 'animal7')",0.0013355057453736663
35,"(2, 8)","('animal3', 'animal9')",0.0013038476463407278
120,"(1, 1, 1)","('animal2', 'animal2', 'animal2')",0.0012695089681074023
63,"(8, 9)","('animal9', 'animal10')",0.0011246528010815382
126,"(1, 1, 7)","('animal2', 'animal2', 'animal8')",0.001101155299693346
58,"(6, 9)","('animal7', 'animal10')",0.0010252527426928282
64,"(9, 9)","('animal10', 'animal10')",0.0009960206225514412
77,"(0, 1, 3)","('animal1', 'animal2', 'animal4')",0.0009762264089658856
29,"(2, 2)","('animal3', 'animal3')",0.0009755772189237177
70,"(0, 0, 5)","('animal1', 'animal1', 'animal6')",0.0009169301483780146
206,"(3, 3, 8)","('animal4', 'animal4', 'animal9')",0.0009087937651202083
121,"(1, 1, 2)","('animal2', 'animal2', 'animal3')",0.0008818546775728464
69,"(0, 0, 4)","('animal1', 'animal1', 'animal5')",0.0008750496781431139
119,"(0, 9, 9)","('animal1', 'animal10', 'animal10')",0.0008681837352924049
33,"(2, 6)","('animal3', 'animal7')",0.0008548969635739923
59,"(7, 7)","('animal8', 'animal8')",0.0008492268389090896
62,"(8, 8)","('animal9', 'animal9')",0.0008393559255637228
56,"(6, 7)","('animal7', 'animal8')",0.0008242265321314335
201,"(3, 3, 3)","('animal4', 'animal4', 'animal4')",0.0008094132062979043
205,"(3, 3, 7)","('animal4', 'animal4', 'animal8')",0.0007778299623169005
173,"(2, 3, 3)","('animal3', 'animal4', 'animal4')",0.0007709413184784353
31,"(2, 4)","('animal3', 'animal5')",0.0007639862596988678
128,"(1, 1, 9)","('animal2', 'animal2', 'animal10')",0.0007490467978641391
114,"(0, 7, 7)","('animal1', 'animal8', 'animal8')",0.0007177676307037473
207,"(3, 3, 9)","('animal4', 'animal4', 'animal10')",0.0007133820909075439
48,"(4, 8)","('animal5', 'animal9')",0.0006577579188160598
47,"(4, 7)","('animal5', 'animal8')",0.0006500667659565806
32,"(2, 5)","('animal3', 'animal6')",0.0006427033222280443
49,"(4, 9)","('animal5', 'animal10')",0.0006389759364537895
57,"(6, 8)","('animal7', 'animal9')",0.0006247563869692385
52,"(5, 7)","('animal6', 'animal8')",0.0006121191545389593
54,"(5, 9)","('animal6', 'animal10')",0.0006090131355449557
53,"(5, 8)","('animal6', 'animal9')",0.0005912185879424214
162,"(1, 8, 8)","('animal2', 'animal9', 'animal9')",0.0005684259813278913
124,"(1, 1, 5)","('animal2', 'animal2', 'animal6')",0.0005659524467773736
117,"(0, 8, 8)","('animal1', 'animal9', 'animal9')",0.0005651519168168306
84,"(0, 2, 2)","('animal1', 'animal3', 'animal3')",0.000538676860742271
125,"(1, 1, 6)","('animal2', 'animal2', 'animal7')",0.0004959261859767139
82,"(0, 1, 8)","('animal1', 'animal2', 'animal9')",0.00046190974535420537
204,"(3, 3, 6)","('animal4', 'animal4', 'animal7')",0.00045980652794241905
226,"(3, 8, 8)","('animal4', 'animal9', 'animal9')",0.00044003070797771215
123,"(1, 1, 4)","('animal2', 'animal2', 'animal5')",0.0004251948557794094
159,"(1, 7, 7)","('animal2', 'animal8', 'animal8')",0.00042274664156138897
81,"(0, 1, 7)","('animal1', 'animal2', 'animal8')",0.00041587455780245364
228,"(3, 9, 9)","('animal4', 'animal10', 'animal10')",0.00040298557723872364
223,"(3, 7, 7)","('animal4', 'animal8', 'animal8')",0.0003897477581631392
96,"(0, 3, 7)","('animal1', 'animal4', 'animal8')",0.0003892107051797211
166,"(2, 2, 3)","('animal3', 'animal3', 'animal4')",0.0003792226198129356
98,"(0, 3, 9)","('animal1', 'animal4', 'animal10')",0.0003787886234931648
97,"(0, 3, 8)","('animal1', 'animal4', 'animal9')",0.0003736631479114294
55,"(6, 6)","('animal7', 'animal7')",0.0003614377637859434
203,"(3, 3, 5)","('animal4', 'animal4', 'animal6')",0.0003591726126614958
76,"(0, 1, 2)","('animal1', 'animal2', 'animal3')",0.0003533285344019532
142,"(1, 3, 8)","('animal2', 'animal4', 'animal9')",0.0003527323715388775
129,"(1, 2, 2)","('animal2', 'animal3', 'animal3')",0.00035054702311754227
51,"(5, 6)","('animal6', 'animal7')",0.00033840248943306506
83,"(0, 1, 9)","('animal1', 'animal2', 'animal10')",0.00033757020719349384
85,"(0, 2, 3)","('animal1', 'animal3', 'animal4')",0.00033402047120034695
46,"(4, 6)","('animal5', 'animal7')",0.0003301938995718956
202,"(3, 3, 4)","('animal4', 'animal4', 'animal5')",0.0003262243408244103
110,"(0, 6, 6)","('animal1', 'animal7', 'animal7')",0.00031151348957791924
164,"(1, 9, 9)","('animal2', 'animal10', 'animal10')",0.0003061858587898314
141,"(1, 3, 7)","('animal2', 'animal4', 'animal8')",0.0002804975083563477
45,"(4, 5)","('animal5', 'animal6')",0.0002766116813290864
280,"(7, 9, 9)","('animal8', 'animal10', 'animal10')",0.00024300273798871785
130,"(1, 2, 3)","('animal2', 'animal3', 'animal4')",0.0002331926953047514
116,"(0, 7, 9)","('animal1', 'animal8', 'animal10')",0.00022369759972207248
95,"(0, 3, 6)","('animal1', 'animal4', 'animal7')",0.00022254575742408633
277,"(7, 7, 9)","('animal8', 'animal8', 'animal10')",0.00021540622401516885
44,"(4, 4)","('animal5', 'animal5')",0.0002114989038091153
143,"(1, 3, 9)","('animal2', 'animal4', 'animal10')",0.00020658176799770445
80,"(0, 1, 6)","('animal1', 'animal2', 'animal7')",0.00020044065604452044
79,"(0, 1, 5)","('animal1', 'animal2', 'animal6')",0.0001968842843780294
50,"(5, 5)","('animal6', 'animal6')",0.00018432960496284068
278,"(7, 8, 8)","('animal8', 'animal9', 'animal9')",0.00018079837900586426
200,"(2, 9, 9)","('animal3', 'animal10', 'animal10')",0.00017429103900212795
276,"(7, 7, 8)","('animal8', 'animal8', 'animal9')",0.00017401354853063822
274,"(6, 9, 9)","('animal7', 'animal10', 'animal10')",0.00017321802442893386
94,"(0, 3, 5)","('animal1', 'animal4', 'animal6')",0.00016980283544398844
172,"(2, 2, 9)","('animal3', 'animal3', 'animal10')",0.00016815774142742157
115,"(0, 7, 8)","('animal1', 'animal8', 'animal9')",0.00016386098286602646
93,"(0, 3, 4)","('animal1', 'animal4', 'animal5')",0.00016129812865983695
78,"(0, 1, 4)","('animal1', 'animal2', 'animal5')",0.00016067865362856537
219,"(3, 6, 6)","('animal4', 'animal7', 'animal7')",0.00016010296531021595
91,"(0, 2, 9)","('animal1', 'animal3', 'animal10')",0.00015624784282408655
105,"(0, 5, 5)","('animal1', 'animal6', 'animal6')",0.00015564919158350676
113,"(0, 6, 9)","('animal1', 'animal7', 'animal10')",0.0001491104776505381
89,"(0, 2, 7)","('animal1', 'animal3', 'animal8')",0.00014456119970418513
195,"(2, 7, 7)","('animal3', 'animal8', 'animal8')",0.00014202523743733764
160,"(1, 7, 8)","('animal2', 'animal8', 'animal9')",0.00014201118028722703
140,"(1, 3, 6)","('animal2', 'animal4', 'animal7')",0.00013856547593604773
170,"(2, 2, 7)","('animal3', 'animal3', 'animal8')",0.0001348050427623093
99,"(0, 4, 4)","('animal1', 'animal5', 'animal5')",0.00013348273932933807
155,"(1, 6, 6)","('animal2', 'animal7', 'animal7')",0.00013241046690382063
198,"(2, 8, 8)","('animal3', 'animal9', 'animal9')",0.0001323027245234698
