,TC Index,TC Variables,TC Value
0,"(0,)","('animal1',)",2.822254785428413e-08
3,"(3,)","('animal4',)",1.832478879748578e-08
1,"(1,)","('animal2',)",1.7264733642718966e-08
13,"(0, 3)","('animal1', 'animal4')",1.3165881718180117e-08
11,"(0, 1)","('animal1', 'animal2')",1.2790682291097255e-08
10,"(0, 0)","('animal1', 'animal1')",1.1460176807531752e-08
2,"(2,)","('animal3',)",1.0654758852979285e-08
12,"(0, 2)","('animal1', 'animal3')",8.572697218767189e-09
8,"(8,)","('animal9',)",8.128616002522904e-09
22,"(1, 3)","('animal2', 'animal4')",8.08600741919463e-09
7,"(7,)","('animal8',)",7.07208380745783e-09
18,"(0, 8)","('animal1', 'animal9')",6.311448697005062e-09
4,"(4,)","('animal5',)",5.9907194760455695e-09
30,"(2, 3)","('animal3', 'animal4')",5.561066718229313e-09
9,"(9,)","('animal10',)",5.430174088161266e-09
17,"(0, 7)","('animal1', 'animal8')",5.424687365973568e-09
37,"(3, 3)","('animal4', 'animal4')",4.9770476628907545e-09
14,"(0, 4)","('animal1', 'animal5')",4.894136207411748e-09
5,"(5,)","('animal6',)",4.715285495393573e-09
20,"(1, 1)","('animal2', 'animal2')",4.6338337611473435e-09
68,"(0, 0, 3)","('animal1', 'animal1', 'animal4')",4.554937760303801e-09
21,"(1, 2)","('animal2', 'animal3')",4.299379519068225e-09
19,"(0, 9)","('animal1', 'animal10')",4.186440971665206e-09
66,"(0, 0, 1)","('animal1', 'animal1', 'animal2')",4.072431725177239e-09
27,"(1, 8)","('animal2', 'animal9')",3.937288273192507e-09
42,"(3, 8)","('animal4', 'animal9')",3.910679335916711e-09
15,"(0, 5)","('animal1', 'animal6')",3.8536134283617685e-09
41,"(3, 7)","('animal4', 'animal8')",3.32244920464575e-09
26,"(1, 7)","('animal2', 'animal8')",3.272086157579679e-09
92,"(0, 3, 3)","('animal1', 'animal4', 'animal4')",3.1155844570918134e-09
43,"(3, 9)","('animal4', 'animal10')",2.9460189843177886e-09
67,"(0, 0, 2)","('animal1', 'animal1', 'animal3')",2.9053792705013848e-09
65,"(0, 0, 0)","('animal1', 'animal1', 'animal1')",2.8800832829745104e-09
38,"(3, 4)","('animal4', 'animal5')",2.8492626036324964e-09
75,"(0, 1, 1)","('animal1', 'animal2', 'animal2')",2.77794565128886e-09
6,"(6,)","('animal7',)",2.6297588551216222e-09
23,"(1, 4)","('animal2', 'animal5')",2.4507829099462697e-09
28,"(1, 9)","('animal2', 'animal10')",2.4061748149506457e-09
73,"(0, 0, 8)","('animal1', 'animal1', 'animal9')",2.2078419092963486e-09
39,"(3, 5)","('animal4', 'animal6')",2.1759731794190884e-09
35,"(2, 8)","('animal3', 'animal9')",2.173693225415718e-09
29,"(2, 2)","('animal3', 'animal3')",2.141140820199894e-09
16,"(0, 6)","('animal1', 'animal7')",2.024548306778229e-09
72,"(0, 0, 7)","('animal1', 'animal1', 'animal8')",2.0033901204641325e-09
31,"(2, 4)","('animal3', 'animal5')",1.964555629285769e-09
137,"(1, 3, 3)","('animal2', 'animal4', 'animal4')",1.909465918714659e-09
122,"(1, 1, 3)","('animal2', 'animal2', 'animal4')",1.8966814785414954e-09
24,"(1, 5)","('animal2', 'animal6')",1.8904116050322273e-09
69,"(0, 0, 4)","('animal1', 'animal1', 'animal5')",1.8458808925814196e-09
34,"(2, 7)","('animal3', 'animal8')",1.8445421856583266e-09
36,"(2, 9)","('animal3', 'animal10')",1.6730573593193299e-09
60,"(7, 8)","('animal8', 'animal9')",1.6340060415842572e-09
32,"(2, 5)","('animal3', 'animal6')",1.464030008335726e-09
74,"(0, 0, 9)","('animal1', 'animal1', 'animal10')",1.4579458751384777e-09
173,"(2, 3, 3)","('animal3', 'animal4', 'animal4')",1.426753937217029e-09
40,"(3, 6)","('animal4', 'animal7')",1.411440075926862e-09
70,"(0, 0, 5)","('animal1', 'animal1', 'animal6')",1.4084400312697198e-09
84,"(0, 2, 2)","('animal1', 'animal3', 'animal3')",1.3919461139266787e-09
48,"(4, 8)","('animal5', 'animal9')",1.381763925500934e-09
25,"(1, 6)","('animal2', 'animal7')",1.1666022592393688e-09
47,"(4, 7)","('animal5', 'animal8')",1.1184267956210192e-09
166,"(2, 2, 3)","('animal3', 'animal3', 'animal4')",1.0828401508788943e-09
53,"(5, 8)","('animal6', 'animal9')",1.0604827016535978e-09
61,"(7, 9)","('animal8', 'animal10')",1.0423621965571783e-09
63,"(8, 9)","('animal9', 'animal10')",1.0015767104576412e-09
62,"(8, 8)","('animal9', 'animal9')",9.97839699756753e-10
127,"(1, 1, 8)","('animal2', 'animal2', 'animal9')",9.624401275942773e-10
45,"(4, 5)","('animal5', 'animal6')",9.336389439340564e-10
201,"(3, 3, 3)","('animal4', 'animal4', 'animal4')",8.743823998180744e-10
206,"(3, 3, 8)","('animal4', 'animal4', 'animal9')",8.715047572493972e-10
52,"(5, 7)","('animal6', 'animal8')",8.699451159444038e-10
121,"(1, 1, 2)","('animal2', 'animal2', 'animal3')",8.492118119818315e-10
77,"(0, 1, 3)","('animal1', 'animal2', 'animal4')",8.424188568945112e-10
126,"(1, 1, 7)","('animal2', 'animal2', 'animal8')",8.055478506463487e-10
207,"(3, 3, 9)","('animal4', 'animal4', 'animal10')",7.926604372876511e-10
120,"(1, 1, 1)","('animal2', 'animal2', 'animal2')",7.862495654542556e-10
59,"(7, 7)","('animal8', 'animal8')",7.768360399396101e-10
205,"(3, 3, 7)","('animal4', 'animal4', 'animal8')",7.731915663278244e-10
49,"(4, 9)","('animal5', 'animal10')",7.529289414165419e-10
33,"(2, 6)","('animal3', 'animal7')",7.368745613689498e-10
71,"(0, 0, 6)","('animal1', 'animal1', 'animal7')",6.835977894859013e-10
117,"(0, 8, 8)","('animal1', 'animal9', 'animal9')",6.745550784614807e-10
44,"(4, 4)","('animal5', 'animal5')",6.429758392378915e-10
64,"(9, 9)","('animal10', 'animal10')",6.37209229825686e-10
202,"(3, 3, 4)","('animal4', 'animal4', 'animal5')",6.236064442610711e-10
85,"(0, 2, 3)","('animal1', 'animal3', 'animal4')",6.146022024644537e-10
129,"(1, 2, 2)","('animal2', 'animal3', 'animal3')",6.041958600100372e-10
54,"(5, 9)","('animal6', 'animal10')",5.85786641416064e-10
128,"(1, 1, 9)","('animal2', 'animal2', 'animal10')",5.558141724648635e-10
58,"(6, 9)","('animal7', 'animal10')",5.419011905871685e-10
114,"(0, 7, 7)","('animal1', 'animal8', 'animal8')",5.25650134530764e-10
56,"(6, 7)","('animal7', 'animal8')",5.180046391828341e-10
57,"(6, 8)","('animal7', 'animal9')",5.131854940998437e-10
203,"(3, 3, 5)","('animal4', 'animal4', 'animal6')",5.060130647827066e-10
99,"(0, 4, 4)","('animal1', 'animal5', 'animal5')",4.912448781091427e-10
123,"(1, 1, 4)","('animal2', 'animal2', 'animal5')",4.698731959074109e-10
76,"(0, 1, 2)","('animal1', 'animal2', 'animal3')",4.644450379842624e-10
119,"(0, 9, 9)","('animal1', 'animal10', 'animal10')",4.384004270718833e-10
162,"(1, 8, 8)","('animal2', 'animal9', 'animal9')",4.305846512675515e-10
97,"(0, 3, 8)","('animal1', 'animal4', 'animal9')",4.253328800274403e-10
82,"(0, 1, 8)","('animal1', 'animal2', 'animal9')",4.2506567710098864e-10
226,"(3, 8, 8)","('animal4', 'animal9', 'animal9')",4.1938028050303444e-10
124,"(1, 1, 5)","('animal2', 'animal2', 'animal6')",4.190113533919515e-10
50,"(5, 5)","('animal6', 'animal6')",4.064748537757623e-10
96,"(0, 3, 7)","('animal1', 'animal4', 'animal8')",3.760567968136286e-10
81,"(0, 1, 7)","('animal1', 'animal2', 'animal8')",3.6704964068157153e-10
204,"(3, 3, 6)","('animal4', 'animal4', 'animal7')",3.5247532670368287e-10
46,"(4, 6)","('animal5', 'animal7')",3.4091873768460346e-10
172,"(2, 2, 9)","('animal3', 'animal3', 'animal10')",3.3122654619077707e-10
167,"(2, 2, 4)","('animal3', 'animal3', 'animal5')",3.1701338776279897e-10
171,"(2, 2, 8)","('animal3', 'animal3', 'animal9')",3.1606858796884296e-10
228,"(3, 9, 9)","('animal4', 'animal10', 'animal10')",3.128539372010408e-10
93,"(0, 3, 4)","('animal1', 'animal4', 'animal5')",3.1150307333582816e-10
98,"(0, 3, 9)","('animal1', 'animal4', 'animal10')",3.0843924636592135e-10
105,"(0, 5, 5)","('animal1', 'animal6', 'animal6')",3.0511168591651483e-10
130,"(1, 2, 3)","('animal2', 'animal3', 'animal4')",3.029181627756117e-10
159,"(1, 7, 7)","('animal2', 'animal8', 'animal8')",3.0193125777344676e-10
223,"(3, 7, 7)","('animal4', 'animal8', 'animal8')",2.998815640253838e-10
165,"(2, 2, 2)","('animal3', 'animal3', 'animal3')",2.9425434311391996e-10
170,"(2, 2, 7)","('animal3', 'animal3', 'animal8')",2.7814289760286215e-10
51,"(5, 6)","('animal6', 'animal7')",2.772772289549863e-10
142,"(1, 3, 8)","('animal2', 'animal4', 'animal9')",2.7629062926415315e-10
78,"(0, 1, 4)","('animal1', 'animal2', 'animal5')",2.7314378536758e-10
125,"(1, 1, 6)","('animal2', 'animal2', 'animal7')",2.6821730947368394e-10
208,"(3, 4, 4)","('animal4', 'animal5', 'animal5')",2.6380617135224327e-10
94,"(0, 3, 5)","('animal1', 'animal4', 'animal6')",2.615230809688285e-10
83,"(0, 1, 9)","('animal1', 'animal2', 'animal10')",2.604383653181941e-10
90,"(0, 2, 8)","('animal1', 'animal3', 'animal9')",2.498889151159034e-10
168,"(2, 2, 5)","('animal3', 'animal3', 'animal6')",2.3765478474047086e-10
141,"(1, 3, 7)","('animal2', 'animal4', 'animal8')",2.350884487078986e-10
198,"(2, 8, 8)","('animal3', 'animal9', 'animal9')",2.2834104052016357e-10
79,"(0, 1, 5)","('animal1', 'animal2', 'animal6')",2.280031441426189e-10
86,"(0, 2, 4)","('animal1', 'animal3', 'animal5')",2.2790347387058318e-10
